SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,CASH_DEPOSIT_PBC,CDP_RATIO,LOAN_ADVANCE,LOAN_ADVANCE_RATIO,AVAILABLE_SALE_FINASSET,ASF_RATIO,LOAN_PBC,LOAN_PBC_RATIO,ACCEPT_DEPOSIT,ACCEPT_DEPOSIT_RATIO,SELL_REPO_FINASSET,SRF_RATIO,SETTLE_EXCESS_RESERVE,SER_RATIO,BORROW_FUND,BORROW_FUND_RATIO,AGENT_TRADE_SECURITY,ATS_RATIO,PREMIUM_RECE,PREMIUM_RECE_RATIO,SHORT_LOAN,SHORT_LOAN_RATIO,ADVANCE_PREMIUM,ADVANCE_PREMIUM_RATIO
300226.SZ,300226,016014,10176326,上海钢联,电子信息,cyb,058001001,069001002002,002,001,2,2020-09-17 00:00:00,2019-06-30 00:00:00,9704969818.44,191540441.18,608303952.44,71.1646268296,2160085022.49,33.1056030406,1455855860.75,-53.0538904335,7071258173.79,79621870.17,25.0244254257,3735554531.8,-18.7462203038,2633711644.65,14.1616260003,2.9879564667,-0.6343362694,131.9132037937,72.8622376584,,,,,,,,,,,,,,,,,,,,,,,,
688179.SH,688179,016040,10399885,阿拉丁,材料行业,kcb,058001001,069001001006,002,001,2,2020-08-28 00:00:00,2019-06-30 00:00:00,344029058.44,114964180.6,41760222.08,-14.7625594835,18737265.9,,83012239.81,26.3590075787,33520814.21,9332091.97,,9216722.23,11.1460825495,310508244.23,4.8379884822,1.0961727328,-24.0229610688,527.6095246017,9.7435996721,,,,,,,,,,,,,,,,,,,,,,,,
300682.SZ,300682,016057,10428356,朗新科技,软件服务,cyb,058001001,069001002002,002,001,2,2020-08-27 00:00:00,2019-06-30 00:00:00,5138466296.8,43309841.57,1523361769.07,249.6398963322,1317272940.52,139.6156654362,525078331.13,206.5831853457,1053866024.13,322220909.11,360.3017250209,151968635.27,88.3109188236,4084600272.67,273.0386616201,244.9959881868,167.1571242483,360.5759194093,20.5093497409,,,,,,,,,,,,,,,,,,,,,,,,
002366.SZ,002366,016043,10135329,台海核电,机械行业,zxb,058001001,069001002003,002,001,2,2020-08-21 00:00:00,2019-06-30 00:00:00,6947726777.07,2179719301.03,116679671.24,-60.3015753356,1046674178.71,36.3689298087,2208941095.87,-30.6763520248,3887020254.52,208609852.14,-22.7295023747,122807543.63,-44.0986020934,3060706522.55,-7.6946677726,-12.4460596671,-15.8565684146,113.4783759306,55.9466481519,,,,,,,,,,,,,,,,,,,,,,,,
600080.SH,600080,016024,10002304,ST金花,医药制造,shzb,058001001,069001001003,002,001,2,2020-08-01 00:00:00,2019-06-30 00:00:00,1974387319.16,351354887.12,362947221.51,-43.3152408514,163595029.29,-2.8398717288,46375264.98,-2.9941774336,193285484.91,40413590.48,-12.0852176214,5151956.25,18.3789836127,1781101834.25,1.564796293,-3.9583717954,-36.0196670785,477.3755886778,9.789643756,,,,,,,,,,,,,,,,,,,,,,,,
002535.SZ,002535,016043,10166025,*ST林重,机械行业,zxb,058001001,069001002005,002,001,2,2020-07-11 00:00:00,2019-06-30 00:00:00,7882226415.7,2001008892.57,1707552280.06,76.1354458654,804236795.88,-6.42677226,667230499.26,-23.4391659756,5068249449.54,428154534.84,-14.5006937045,91893460.17,-68.3739456686,2813976966.16,-7.654376764,1.0490366134,6.6287266525,102.5835243313,64.2997191687,,,,,,,,,,,,,,,,,,,,,,,,
300367.SZ,300367,016055,10119362,ST网力,安防设备,cyb,058001001,069001002005,002,001,2,2020-07-06 00:00:00,2019-06-30 00:00:00,7144906612.3,280377742.73,527328747.97,-22.0601888807,2559475650.85,6.4596192887,213238564.82,-43.0271307704,3258530041.02,516666176.81,18.9316324992,7692038.95,-35.1978191969,3886376571.28,1.5716764813,4.6021874053,8.4617951709,160.9011246586,45.6063349437,,,,,,,,,,,,,,,,,,,,,,,,
000796.SZ,000796,016038,10005696,凯撒旅业,旅游酒店,szzb,058001001,069001002001,002,001,2,2020-06-30 00:00:00,2019-06-30 00:00:00,5896920937.05,216995200.24,1245650109.08,-44.9548787434,1042357170.76,-7.5365229314,12090311.19,-23.7771278392,3464838331.85,834412578.37,-10.3309171145,700731691.03,-3.7530551992,2432082605.2,5.8906403904,-5.8085426263,-12.5875571396,168.6448784186,58.7567370978,,,,,,,,,,,,,,,,,,,,,,,,
000980.SZ,000980,016035,10005834,*ST众泰,汽车行业,szzb,058001001,069001002005,002,001,2,2020-06-24 00:00:00,2019-06-30 00:00:00,30531119005.25,3911193904.34,3116988603.32,-21.6512105199,5639726399.78,7.1077210004,2649834804.12,-7.3027913899,13241295764.41,4816277832.76,-18.376180261,953760972.56,-3.585981074,17289823240.84,1.21119027,-3.5546695904,-9.1411713051,121.1550460291,43.3698344372,,,,,,,,,,,,,,,,,,,,,,,,
002575.SZ,002575,016060,10156642,*ST群兴,文教休闲,zxb,058001001,069001002005,002,001,2,2020-06-23 00:00:00,2019-06-30 00:00:00,898658381.63,95618.49,165704246.83,-21.0310785767,1083000,-95.0505877733,,,39319440.39,270043,-8.7920310168,265000,,859338941.24,-3.9947322921,-0.5314370396,370.0984534675,837.1144685375,4.3753489862,,,,,,,,,,,,,,,,,,,,,,,,
