SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,FEE_COMMISSION_NI,FCN_RATIO,OPERATE_TAX_ADD,MANAGE_EXPENSE_BANK,FCN_CALCULATE,INTEREST_NI_CALCULATE,EARNED_PREMIUM,EARNED_PREMIUM_RATIO,INVEST_INCOME,SURRENDER_VALUE,COMPENSATE_EXPENSE,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO
688788.SH,688788,016014,10000057436,科思科技,电子信息,kcb,058001001,069001001006,002,001,2,2020-09-23 00:00:00,2019-06-30 00:00:00,55996072.63,213165876.65,145894534.44,,63644897.32,63644897.32,,6250872.76,18565972.76,4513026.29,59494259.31,59432230.77,4941856.97,,,,,,134800.47,,,,,,,,,,,,53939494.94,
605058.SH,605058,016022,10000039148,澳弘电子,电子元件,shzb,058001001,069001001001,002,001,2,2020-09-22 00:00:00,2019-06-30 00:00:00,63506334.43,423671351.71,350604881.42,,298752127.99,298752127.99,,9141293.01,23099028.52,-6075438.82,70332002.69,71773351.66,8267017.23,,,,,,2850123.59,,,,,,,,,,,,61333731.33,
601568.SH,601568,016041,10138679,北元集团,化工行业,shzb,058001001,069001001001,002,001,2,2020-09-22 00:00:00,2019-06-30 00:00:00,806710871.65,4813879763.34,3866719800.81,,3168863633.63,3168863633.63,,292511646.02,309207315.95,36332497.65,951205046.3,955516451.01,148805579.36,,,,,,36270606.47,,,,,,,,,,,,802367071.65,
688386.SH,688386,016018,10433737,泛亚微透,塑胶制品,kcb,058001001,069001001006,002,001,2,2020-09-21 00:00:00,2019-06-30 00:00:00,16267711.79,112392682.42,92173559.52,,61146315.88,61146315.88,,8448148.05,12591818.89,1644807.09,19531124.27,19269437.17,3001725.38,,,,,,1620981.63,,,,,,,,,,,,16343611.79,
300899.SZ,300899,016048,10489274,上海凯鑫,环保工程,cyb,058001001,069001002002,002,001,2,2020-09-21 00:00:00,2019-06-30 00:00:00,32838803.29,148335515.38,111367849.01,,95760271.74,95760271.74,,3082638.21,6112528.23,-41860.48,37151522.93,37174615.87,4302847.37,,,,,,742215.82,,,,,,,,,,,,32203303.29,
002324.SZ,002324,016018,10143258,普利特,塑胶制品,zxb,058001001,069001002003,002,001,2,2020-09-19 00:00:00,2019-06-30 00:00:00,59794416.83,1652285585.73,1586684461.23,-5.3288432765,1334868939.8,1334868939.8,-6.500706412,60471533.28,45565557.4,35689647.81,65206259.2,71573903.29,12317062.14,,,,,,3846293.81,,,,,,,,,-6.6503265905,-32.246484763328,-32.098126845905,53411846.19,-34.491887631963
600228.SH,600228,016041,10002436,ST昌九,化工行业,shzb,058001001,069001001003,002,001,2,2020-09-18 00:00:00,2019-06-30 00:00:00,-5057707.24,214853898.95,217895005.01,-15.3711450135,183476706.42,183476706.42,-18.3773147703,11610452.14,13768000.03,600065.33,-2423032.25,-2323336.26,478554.14,,,,,,879308.47,,,,,,,,,-19.8821425684,-124.653484523215,-236.175744642205,-5233452.13,-255.381764403314
300999.SZ,300999,016012,10000015613,金龙鱼,食品饮料,cyb,058001001,069001002002,002,001,2,2020-09-18 00:00:00,2019-06-30 00:00:00,1596854000,78685157000,75477318000,,70296091000,70296091000,,3485841000,1069875000,351753000,1858842000,1857995000,269366000,,,,,,192770000,,,,,,,,,,,,1239875000,
300287.SZ,300287,016057,10202897,飞利信,软件服务,cyb,058001001,069001002002,002,001,2,2020-09-18 00:00:00,2019-06-30 00:00:00,47162130.76,777191475.14,725224506.36,-34.0235080151,551031968.05,551031968.05,-40.326183037,44315821.3,73546016.83,11742989.31,51851971.25,52038948.29,7544277.35,,,,,,2435676.24,,,,,,,,,-41.0868692254,-75.162120258202,-73.989218689543,41008784.06,-76.942744242958
600688.SH,600688,016023,10003998,上海石化,石油行业,shzb,058001001,069001001001,002,001,2,2020-09-17 00:00:00,2019-06-30 00:00:00,1137241000,51992583000,51094452000,5.7256664839,43664730000,43664730000,7.2637105131,260415000,1516182000,-198402000,1364696000,1359243000,215526000,,,,,,5830148000,,,,,,,,,-0.3737609135,-69.713844144904,-67.729888588137,1137729000,-67.635224108341
